RunDate,RunNumber,PlanningDataID,PlanningDataVersion,BaselineID,ID,ShortName,LongName,ShortFileName,LongFileName,StartID,StartFullName,StartUTID,EndID,EndFullName,EndUTID,Type,Category,Slope,TotalLeadLag,StartLeadLag,EndLeadLag,Comments,Unschedulable,Driving,Complete,Critical,OnLoop,LongestPath
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1265,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,15060,\Construction\Substructure.Ground slab.Ground slab #1,190,1058,\Construction\Superstructure.Cols. G - 1.Cols. G - 1 - Z1,220,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,1,1,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1266,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1049,\Construction\Substructure.Ground slab.Ground slab #2,200,1059,\Construction\Superstructure.Cols. G - 1.Cols. G - 1 - Z2,230,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1267,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1058,\Construction\Superstructure.Cols. G - 1.Cols. G - 1 - Z1,220,1061,\Construction\Superstructure.1st Slab.1st Slab - Z1,240,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1268,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1059,\Construction\Superstructure.Cols. G - 1.Cols. G - 1 - Z2,230,1062,\Construction\Superstructure.1st Slab.1st Slab - Z2,250,Finish-to-Start (FS),Normal,16.00,0.00,0.00,0.00,,0,0,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1269,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1061,\Construction\Superstructure.1st Slab.1st Slab - Z1,240,1064,\Construction\Superstructure.Cols. 1 - 2.Cols. 1 - 2 - Z1,260,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1270,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1062,\Construction\Superstructure.1st Slab.1st Slab - Z2,250,1065,\Construction\Superstructure.Cols. 1 - 2.Cols. 1 - 2 - Z2,270,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1271,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1064,\Construction\Superstructure.Cols. 1 - 2.Cols. 1 - 2 - Z1,260,1067,\Construction\Superstructure.2nd Slab.2nd Slab - Z1,280,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1272,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1065,\Construction\Superstructure.Cols. 1 - 2.Cols. 1 - 2 - Z2,270,1068,\Construction\Superstructure.2nd Slab.2nd Slab - Z2,290,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1273,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1067,\Construction\Superstructure.2nd Slab.2nd Slab - Z1,280,1070,\Construction\Superstructure.Cols. 2 - R.Cols. 2 - R - Z1,300,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1274,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1068,\Construction\Superstructure.2nd Slab.2nd Slab - Z2,290,1071,\Construction\Superstructure.Cols. 2 - R.Cols. 2 - R - Z2,310,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1275,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1070,\Construction\Superstructure.Cols. 2 - R.Cols. 2 - R - Z1,300,1073,\Construction\Superstructure.Roof Slab.Roof Slab - Z1,320,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1276,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1071,\Construction\Superstructure.Cols. 2 - R.Cols. 2 - R - Z2,310,1074,\Construction\Superstructure.Roof Slab.Roof Slab - Z2,330,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1277,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1074,\Construction\Superstructure.Roof Slab.Roof Slab - Z2,330,1076,\Construction\Superstructure.Roof Plant Room,340,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,1,0,1
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1278,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1068,\Construction\Superstructure.2nd Slab.2nd Slab - Z2,290,1079,\Construction\Superstructure.Stair Structure.Stair 1-2,360,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1279,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1074,\Construction\Superstructure.Roof Slab.Roof Slab - Z2,330,1082,\Construction\Superstructure.Stair Structure.Stair 2-R,370,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
2023/08/04 15:53:18,1,{098DEE34-04A1-49C9-94B6-9E222502F578},6,-1,1280,2sob,2 Storey Office Block,2 Storey Office Block Example,C:\Users\sannez\OneDrive - Solid Support\1 Marketing\7 Business Intelligence\Templates\Free Template\2 Storey Office Block Example.pp,1062,\Construction\Superstructure.1st Slab.1st Slab - Z2,250,1078,\Construction\Superstructure.Stair Structure.Stair G-1,350,Finish-to-Start (FS),Normal,0.00,0.00,0.00,0.00,,0,1,0,0,0,0
